username,tweet
b'State Bank of India', restrictions 
b'Chithu',As I said earlier Only leader in
b'Chithu',Watch   
b'Amet Selman',Did you know that soil science and fertilisers are like superheroes for farming
b'Amet Selman',aaahgcouk
b'Pankaj',Very Good Decision by Government of
b'State Bank of India',
b'Carl Van der Vyver',I believe australia cricket can win this world cup in
b'arham',Obv
b'I\xd0\xbd\xd0\xb4i\xd1\x8f \xd0\xa1\xd1\x82\xd0\xbe\xd0\xba\xd0\xb5\xd1\x80',
b'State Bank of India',
b'Carl Van der Vyver',I believe australia cricket can win this world cup in
b'arham',Obv
b'I\xd0\xbd\xd0\xb4i\xd1\x8f \xd0\xa1\xd1\x82\xd0\xbe\xd0\xba\xd0\xb5\xd1\x80',
b'TEXTILE VALUE CHAIN',In celebration of World Cotton Day the Confederation of Indian Textile Industry CITI  Cotton Development Research Association CDRA proudly recognizes the invaluable contribution of cotton to
b'KAPADE MAHIR',i also asked u same thing y ur ancestors support rothchild who owned east
b'Bala Bhai',Im from Hyderabadwe dont have any
b'Sameerkhan.091',Sorry icc
b'Discounts Deck',Avail  Off On Yashika Womens Art Silk Saree MRP Rs  Deal Price Rs  Link
b'Discounts Deck',amazonin
b'Discounts Deck',Yashika Womens Art Silk Saree
b'Discounts Deck',Yashika brings to you this saree which is made from silk fabric and is available in attractive colours The saree is a suitable amalgamation of style with the grace that is required from an ethnic
b'Siva Prasad D',what are the measures you are taking to control misselling by your employees at ground level
b'ProudIndian',And what about rules in
b'Haizul Izaddi',Stand by banner sokong palestine Biar
b'Indian Online Seller',Up your dining Elevate every meal and make memories shine brighter Dont miss out on Plates Coupon grab a stunning  off with coupon code FALL off on all your products at Corelle Plates
b'Ameer Hamza Asif',I dont understand the policy behind blocking Zainab Abbas entry to
b'Bharat 24 - Vision Of New India',  Watch
b'Sambad English',
b'Geeky Techy',Best Deals on Gaming Laptops in Great Indian Festival Sale  Under   Under   Under   Under   Under   Above  Link
b'Sumit',Not a Pakistani making fun of other countries Maharashtra which is only a state in
b'Md. Sabur Khan',Attending the Global Education Summit  at Chandigarh University in Punjab
b'Rajendra Behari Lal Nigam',FIRST   
b'tbywndr',Hindus of any nationality becoming victims of terror and hate is an issue for
b'Sapna Mishra',Please reply
b'Anju hemant',
b'The Rising India',Supporting a friend just because you have been friends for sometime doesnt really change the facts
b'The Rising India',Our Palestinian Ambassador to the UK 
b'ashwin pinflirt',because on that Day
b'World Statistics', Colombia   
b'Consumers India',As a last resort you may approach Consumer Commission There is a District Commission in each and every district You can also file your complaint on lineon EDaakhil platform
b'\xd8\xa7\xd8\xa8\xd9\x88\xd8\xb3\xd9\x81\xdb\x8c\xd8\xa7\xd9\x86',Humare leader corrupt hai Okay Tum log develop kar rahe ho Okay Pur yaha is cheez ki baat nhi ho rahi
b'p sravan kumar',Edi pakka
b'Ramkishor sahu Bjp',
b'Divaker V Vittal \xe0\xb2\xa6\xe0\xb2\xbf\xe0\xb2\xb5\xe0\xb2\xbe\xe0\xb2\x95\xe0\xb2\xb0\xe0\xb3\x8d \xe0\xb2\xb5\xe0\xb2\xbf \xe0\xb2\xb5\xe0\xb2\xbf\xe0\xb2\xa0\xe0\xb3\x8d\xe0\xb2\xa0\xe0\xb2\xb2\xe0\xb3\x8d',Confusion over leadership casts shadow on
b'BJP Karnataka',
b'Swithin Fernandes',HAS MADE THEMSELVESLAUGHING STOCK ON THE WORLD SCREEN
b'Rahul verma',Ram Ram Guru G
b'right TO offend',Miss propagandist keeping citizens safe from terrorist attacks should be a top priority for any government Unfortunately for congress it is too much to ask
b'right TO offend',Sad to see the ruling party using the anguish and horror Israelis are facing today to score political points here in India Terrorism the deliberate targetting of civilians and brutality is condemnable time to support victims not to seek advantage
b'Ramkishor sahu Bjp',
b'INDIAN',You dont have any idea what you are talkingI had shown u factsU r just talkibg nnsense After removing  who won the election in Ladakh kargil
b'RPR',In Telangana it will be th position for
b'Manoj Kumar ',Once again BJP
b'BJP West Bengal',     
b'Laal Singh Chaddha 2.0',Vote for Congress
b'Nightmare',Chodi
b'anvi',
b'Ritesh Singh( BJP)',
b'Polls Tracker ',Just check him He will give some reason and was doing some mistake in taking polls and release a statement saying will try to correct them next time AND Game goes on till next Elections Partha Das
b'Polls Tracker ',Wont he change again during exit poll People have short memory
b'salabh Agrawal BJP', 
b'ANI', Delhi On the announcement of election dates for the upcoming assembly polls Union Minister Narendra Singh Tomar says I welcome the decision of the Election Commission for the election program
b'Vijay Agrawal',
b'Ranjit Kumar',Vote for the one who will stand for Bharat Yes anyone but Modi  the
b'Dhananjay Vasudev Sawant patil',
b'sravana kudaravalli',Huge possibility that the BRS may emerge as a single largest party Here is my opinion MIM   nampally may be a tough one OTH   some persons are capable of throwing surprises as independents
b'VAISHNAVI',MP      
b'IANS',
b'Vinay Dwivedi',
b'AJAY KUMAR',No more
b'RPR',leader BL Santosh just two days ago said it is going to be hung in Telangana and now
b'Arun Bhimawad',
b'Alui',Im not happy to meet you at all though Your
b'GodLovesTheTruth',This is a lie He is a liar and GOD does not approve of harming women and children but radical
b'GodLovesTheTruth',Were in big trouble twittercomwilderpatriot
b'Brett Walker',Hamas is a terrorist group so this is a pro
b'Curtis Thirlwell Whitfield.',You can support Palestine and its cause without supporting
b'MissyMouselet',Perhaps
b'MissyMouselet',Im asking every mother in the world to think of her children and help me make the effort to release those people and my children Listen now to
b'Laura Corrado',What he said about Hamas not attacking civilians is a lie  and the journalist should have told him  we all saw the videos including kids being kidnappedwe all know the situation is complex but
b'Maurice Thompson',Not a peep from
b'Maurice Thompson',This is a war crime Israeli forces are using internationally prohibited white phosphorus on heavily populated districts in the north of Gaza
b'Srinivas Duvvuri',These secular and faith believing women should be sent to the terrorist organisations and see how they will be treated Suddenly they will
b'Maurice Thompson',Not a peep from
b'Maurice Thompson',This is a war crime Israeli forces are using internationally prohibited white phosphorus on heavily populated districts in the north of Gaza
b'Srinivas Duvvuri',These secular and faith believing women should be sent to the terrorist organisations and see how they will be treated Suddenly they will
b'Jing Jang Jane. Anti Unelected Dictatorship',Sky are now promoting
b'Vikki',We should not provide visas to terrorist PAKISTAN always support
b'Sven Andersson',Missar de att rapportera hur palestinier i Sverige firar
b'MaibhiAnna',Israel is a true friend of India  They helped us during  and Kargil War and in every difficult situation India Air Defense system is from Israel Both countries have seen the Grusome picture of
b'Jarvis',She prays for
b' Mo Shone ',When did we start supporting the celebrating of acts of
b'northeast hindu united',what does it have to do with Israel  Opposing
b'Sustainable Urbanism ',
b'Sustainable Urbanism ',Australian police have tonight warned Australian Jews not to go near the Sydney Opera House Town Hall and Central Business District Let that sink in for a second We are supposed to be a democratic multicultural country
b'I Contain Multitudes',There is NO excuse for
b'Hemraj Dewasi',Dear world wakeup Wakeup  unite against IsIamic
b'Maggie Gardener ',You misread The act of Hamas is
b'Natalia \xe2\x93\x8f Bogacz',Yeah but how have the fight against
b'KP Astro',You people never change Israel is not fighting for religion but for stopping
b'\xe0\xa4\x8f\xe0\xa4\xb8 \xe0\xa4\x95\xe0\xa5\x87 \xe0\xa4\xb6\xe0\xa4\xb0\xe0\xa5\x8d\xe0\xa4\xae\xe0\xa4\xbe',We love and support Israel Stay strong and crush the
b'leo Jeslin',Fight Politics of Both Country and
b'MystWolven',Teach them the basics technique curiosity desire to learn Do you understand were talking about leechware built on wage theft plagiarism racism sexism
b'UNCLE DEJI',Nigeria is less terrorized in  compared to  according to Global
b'seamus murphy',Your position is contorted What definition of
b'Sinai',Read my first comment again Every mosque and school will be bombed when there are terrorists hidden and planning to kill israeli civilians My logic is against
b'Mohammed Saud',Sooner or later you will get what you deserve you support Israeli
b'Deng Chao',You are a simp for
b'Dynamo',All who were cheering
b'Sassi Iskander',habibi israel is the
b'blanklabel',has no place in this world
b'Me We ',Imperialism is
b'surya',SPGC is a hate organization should be shut immediately All they speak are lies and glorify terrorists and
b'\xe2\x82\xb4\xe2\xb1\xa7\xe2\x92\xb6\xc3\x98\xe2\x82\xa6 \xe2\xb1\xa0\xc5\x82\xe0\xb8\xbf\xc9\x86\xe2\xb1\xa4\xe2\x82\xb3\xe2\x82\xae\xc5\x82\xc3\x98\xe2\x82\xa6',Hamas  Zionists are both guilty of
"b""Hiro's gallery""",Israel Defense Forces
"b""Hiro's gallery""",   
b'Peter Darrow',More Diabolical Hamas
b'Mohammad Fahim Khan',You are terrorist and israel is terrorist All th western countries are terrorist You have never spoke of the
